,method,rows,columns,time
0,CreateDT,25,2,1.3174760341644287
1,CreateDT,25,2,2.2190637588500977
2,CreateDT,25,2,2.2522528171539307
3,CreateDT,25,4,2.7157397270202637
4,CreateDT,25,4,2.7237155437469482
5,CreateDT,25,4,2.7167367935180664
6,CreateDT,25,6,5.906203508377075
7,CreateDT,25,6,4.9407875537872314
8,CreateDT,25,6,4.615654945373535
9,CreateDT,25,8,7.323415279388428
10,CreateDT,25,8,7.219320297241211
11,CreateDT,25,8,7.2649736404418945
12,CreateDT,25,10,12.24898624420166
13,CreateDT,25,10,4.014265298843384
14,CreateDT,25,10,3.775902509689331
15,CreateDT,25,15,13.882397174835205
16,CreateDT,25,15,7.45905327796936
17,CreateDT,25,15,8.420626401901245
18,CreateDT,50,2,6.5055999755859375
19,CreateDT,50,2,6.108663082122803
20,CreateDT,50,2,6.095696449279785
21,CreateDT,50,4,18.46954870223999
22,CreateDT,50,4,30.384113788604736
23,CreateDT,50,4,20.710378170013428
24,CreateDT,50,6,16.983580350875854
25,CreateDT,50,6,21.764792919158936
26,CreateDT,50,6,19.268470287322998
27,CreateDT,50,8,26.8831045627594
28,CreateDT,50,8,21.13381290435791
29,CreateDT,50,8,21.089596271514893
30,CreateDT,50,10,23.145103216171265
31,CreateDT,50,10,40.9215612411499
32,CreateDT,50,10,77.76553130149841
33,CreateDT,50,15,101.5354528427124
34,CreateDT,50,15,46.6243109703064
35,CreateDT,50,15,46.21689319610596
36,CreateDT,75,2,15.90945029258728
37,CreateDT,75,2,14.746560096740723
38,CreateDT,75,2,15.595291137695312
39,CreateDT,75,4,27.32392406463623
40,CreateDT,75,4,24.871756553649902
41,CreateDT,75,4,26.36349630355835
0,PruneDT,25,2,65.57816457748413
1,PruneDT,25,2,78.06002974510193
2,PruneDT,25,2,88.96981763839722
3,PruneDT,25,4,136.64014410972595
4,PruneDT,25,4,125.36975121498108
5,PruneDT,25,4,148.1908996105194
6,PruneDT,25,6,112.72080492973328
7,PruneDT,25,6,120.90034699440002
8,PruneDT,25,6,143.4330689907074
9,PruneDT,25,8,216.92833518981934
10,PruneDT,25,8,240.00150895118713
11,PruneDT,25,8,261.06833267211914
12,PruneDT,25,10,279.8118665218353
13,PruneDT,25,10,262.4820144176483
14,PruneDT,25,10,349.53850293159485
15,PruneDT,25,15,325.3199155330658
16,PruneDT,25,15,356.0109770298004
17,PruneDT,25,15,381.07783699035645
18,PruneDT,50,2,408.3826880455017
19,PruneDT,50,2,475.40520668029785
20,PruneDT,50,2,588.7041440010071
21,PruneDT,50,4,2216.3904473781586
22,PruneDT,50,4,2273.4651596546173
23,PruneDT,50,4,1291.4135763645172
24,PruneDT,50,6,1059.4934272766113
25,PruneDT,50,6,1316.5807840824127
26,PruneDT,50,6,589.1246457099915
27,PruneDT,50,8,1673.6756355762482
28,PruneDT,50,8,1551.7608211040497
29,PruneDT,50,8,1667.5418026447296
30,PruneDT,50,10,1723.4964661598206
31,PruneDT,50,10,3004.3754663467407
32,PruneDT,50,10,4967.679914236069
33,PruneDT,50,15,3422.874583005905
34,PruneDT,50,15,3293.918341398239
35,PruneDT,50,15,2868.465025663376
36,PruneDT,75,2,1346.4598805904388
37,PruneDT,75,2,1429.239786863327
38,PruneDT,75,2,1548.9533064365387
39,PruneDT,75,4,3278.2797791957855
40,PruneDT,75,4,2794.9147214889526
41,PruneDT,75,4,2645.1558215618134
0,PredictDT,25,2,6.198423862457275
1,PredictDT,25,2,30.062592267990112
2,PredictDT,25,2,22.53972101211548
3,PredictDT,25,4,11.49326491355896
4,PredictDT,25,4,15.530466794967651
5,PredictDT,25,4,9.994271278381348
6,PredictDT,25,6,12.740926265716553
7,PredictDT,25,6,16.861905097961426
8,PredictDT,25,6,17.552891492843628
9,PredictDT,25,8,20.33584690093994
10,PredictDT,25,8,25.92694926261902
11,PredictDT,25,8,44.08700084686279
12,PredictDT,25,10,23.674921989440918
13,PredictDT,25,10,49.36601495742798
14,PredictDT,25,10,54.62976932525635
15,PredictDT,25,15,46.34976935386658
16,PredictDT,25,15,60.225056171417236
17,PredictDT,25,15,45.52923631668091
18,PredictDT,50,2,106.36802196502686
19,PredictDT,50,2,26.670387029647827
20,PredictDT,50,2,119.37158584594727
21,PredictDT,50,4,81.88282203674316
22,PredictDT,50,4,88.51381921768188
23,PredictDT,50,4,404.5395984649658
24,PredictDT,50,6,47.75827741622925
25,PredictDT,50,6,48.30336833000183
26,PredictDT,50,6,49.259268045425415
27,PredictDT,50,8,64.7034809589386
28,PredictDT,50,8,64.14781308174133
29,PredictDT,50,8,64.37977123260498
30,PredictDT,50,10,172.32770442962646
31,PredictDT,50,10,194.88190340995789
32,PredictDT,50,10,174.74893283843994
33,PredictDT,50,15,120.91405367851257
34,PredictDT,50,15,119.12355017662048
35,PredictDT,50,15,117.05930304527283
36,PredictDT,75,2,36.337817668914795
37,PredictDT,75,2,33.84747838973999
38,PredictDT,75,2,36.17525362968445
39,PredictDT,75,4,71.26851177215576
40,PredictDT,75,4,73.28017377853394
41,PredictDT,75,4,70.71046543121338
0,BuildRF,25,2,1.0162818431854248
1,BuildRF,25,2,0.9185435771942139
2,BuildRF,25,2,0.7978682518005371
3,BuildRF,25,4,2.1672017574310303
4,BuildRF,25,4,2.3836252689361572
5,BuildRF,25,4,2.544602394104004
6,BuildRF,25,6,2.9600837230682373
7,BuildRF,25,6,3.226370334625244
8,BuildRF,25,6,3.1495773792266846
9,BuildRF,25,8,4.256152391433716
10,BuildRF,25,8,4.990064382553101
11,BuildRF,25,8,4.974509954452515
12,BuildRF,25,10,4.583741188049316
13,BuildRF,25,10,4.387265682220459
14,BuildRF,25,10,4.815124273300171
15,BuildRF,25,15,8.284843444824219
16,BuildRF,25,15,6.049819231033325
17,BuildRF,25,15,7.449079513549805
18,BuildRF,50,2,4.428372859954834
19,BuildRF,50,2,3.6312899589538574
20,BuildRF,50,2,5.041516542434692
21,BuildRF,50,4,19.079594135284424
22,BuildRF,50,4,19.13721251487732
23,BuildRF,50,4,7.063109397888184
24,BuildRF,50,6,12.811737060546875
25,BuildRF,50,6,13.094980239868164
26,BuildRF,50,6,13.972877264022827
27,BuildRF,50,8,20.700643301010132
28,BuildRF,50,8,13.567718982696533
29,BuildRF,50,8,14.402483224868774
30,BuildRF,50,10,21.470583200454712
31,BuildRF,50,10,42.840903997421265
32,BuildRF,50,10,40.881815671920776
33,BuildRF,50,15,24.299015760421753
34,BuildRF,50,15,27.484498500823975
35,BuildRF,50,15,26.90704083442688
36,BuildRF,75,2,5.863318920135498
37,BuildRF,75,2,6.65320897102356
38,BuildRF,75,2,7.2166972160339355
39,BuildRF,75,4,19.77212142944336
40,BuildRF,75,4,17.74753713607788
41,BuildRF,75,4,17.726593255996704
0,PredictRF,25,2,11.289807319641113
1,PredictRF,25,2,10.724320650100708
2,PredictRF,25,2,10.300450325012207
3,PredictRF,25,4,38.252293825149536
4,PredictRF,25,4,39.15886116027832
5,PredictRF,25,4,38.19285869598389
6,PredictRF,25,6,55.00808620452881
7,PredictRF,25,6,45.22405695915222
8,PredictRF,25,6,47.06028652191162
9,PredictRF,25,8,74.89901757240295
10,PredictRF,25,8,87.10792517662048
11,PredictRF,25,8,82.11094999313354
12,PredictRF,25,10,104.36825466156006
13,PredictRF,25,10,79.50274205207825
14,PredictRF,25,10,89.52681136131287
15,PredictRF,25,15,143.46411204338074
16,PredictRF,25,15,133.1686246395111
17,PredictRF,25,15,139.4090826511383
18,PredictRF,50,2,105.54837989807129
19,PredictRF,50,2,101.03692412376404
20,PredictRF,50,2,141.683091878891
21,PredictRF,50,4,537.4716527462006
22,PredictRF,50,4,556.5174689292908
23,PredictRF,50,4,212.80546498298645
24,PredictRF,50,6,348.75791931152344
25,PredictRF,50,6,387.37178802490234
26,PredictRF,50,6,397.92137265205383
27,PredictRF,50,8,674.9512465000153
28,PredictRF,50,8,359.67724442481995
29,PredictRF,50,8,354.5854103565216
30,PredictRF,50,10,484.8673732280731
31,PredictRF,50,10,1293.018586397171
32,PredictRF,50,10,1343.6404385566711
33,PredictRF,50,15,728.4948878288269
34,PredictRF,50,15,899.337082862854
35,PredictRF,50,15,891.4515972137451
36,PredictRF,75,2,243.39567804336548
37,PredictRF,75,2,297.16006803512573
38,PredictRF,75,2,303.0458996295929
39,PredictRF,75,4,760.733195066452
40,PredictRF,75,4,845.0663633346558
41,PredictRF,75,4,813.0532312393188
